quarter,year,program,day,date,time,week,title,release-year,tickets-sold,passes-used,attendance,format,hour,month,month-day,full-date,language,region,tmdb-popularity,num-genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
spring,2024,rs,mon,,,,Still/Here,2001,,,,,,,,,English,North America,0.6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,tue,,,,TOUT VA BIEN,1972,,,,,,,,,French,Europe,8.151,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,wed,,,,OPENING NIGHT,1977,,,,,,,,,English,North America,9.564,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,thu1,,,,LOVE UNDER THE CRUCIFIX,1962,,,,,,,,,Japanese,East Asia,2.387,,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
spring,2024,rs,thu2,,,,BLACK CHARIOT,1971,,,,,,,,,English,North America,1.4,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,fri,,,,THERE WILL BE BLOOD,2007,,,,,,,,,English,North America,28.406,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,sun1,,,,YOUNG SOUL REBELS,1991,,,,,,,,,English,Europe,2.195,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
spring,2024,rs,sun2,,,,NORTH ON EVERS,1992,,,,,,,,,English,North America,1.695,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,mon,,,,DRYLONGSO,1999,,,,,,,,,English,North America,0.931,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,tue,,,,TROUBLE EVERY DAY,2001,,,,,,,,,French,Europe,11.371,,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
spring,2024,rs,wed,,,,ROCCO AND HIS BROTHERS,1960,,,,,,,,,Italian,Europe,12.855,,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
spring,2024,rs,thu1,,,,GIRLS OF THE NIGHT,1961,,,,,,,,,Japanese,East Asia,3.494,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,thu2,,,,COSMIC RAY,1962,,,,,,,,,English,North America,1.185,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
spring,2024,rs,thu2,,,,FRITZ THE CAT,1972,,,,,,,,,English,North America,12.277,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,fri,,,,THE BITTER TEARS OF PETRA VON KANT,1972,,,,,,,,,German,Europe,8.045,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
spring,2024,rs,sun1,,,,BALDWIN'S N-,1968,,,,,,,,,English,Europe,1.172,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,sun1,,,,PERFECT IMAGE?,1989,,,,,,,,,English,Europe,1.09,,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
spring,2024,rs,sun2,,,,FOUR CORNERS,1997,,,,,,,,,English,North America,0.6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,mon,,,,"HALE COUNTY, THIS MORNING, THIS EVENING",2018,,,,,,,,,English,North America,3.176,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,tue,,,,PERSONAL SHOPPER,2016,,,,,,,,,English,Europe,12.131,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
spring,2024,rs,wed,,,,BAD EDUCATION,2004,,,,,,,,,Spanish,Europe,9.897,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
spring,2024,rs,thu1,,,,THE WANDERING PRINCESS,1960,,,,,,,,,Japanese,East Asia,1.255,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
spring,2024,rs,thu2,,,,SHE WAS A VISITOR,1970,,,,,,,,,English,North America,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,thu2,,,,EYE MUSIC IN RED MAJOR,1961,,,,,,,,,English,North America,0.801,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,thu2,,,,SCAPE-MATES,1972,,,,,,,,,English,North America,0.6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,thu2,,,,BLEU SHUT,1971,,,,,,,,,English,North America,0.67,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,fri,,,,SELENA,1997,,,,,,,,,English,North America,18.364,,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
spring,2024,rs,sun1,,,,BABYLON,1980,,,,,,,,,English,Europe,3.643,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,sun2,,,,O PANAMA,1985,,,,,,,,,English,North America,0.911,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,sun2,,,,AMERICAN DREAMS: LOST AND FOUND,1984,,,,,,,,,English,North America,0.681,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,mon,,,,JUST ANOTHER GIRL ON THE IRT,1993,,,,,,,,,English,North America,1.525,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
spring,2024,rs,tue,,,,"WHO ARE YOU, POLLY MAGGOO?",1966,,,,,,,,,French,Europe,4.367,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,wed,,,,5 BROKEN CAMERAS,2012,,,,,,,,,English,Middle East,5.435,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
spring,2024,rs,wed,,,,ELECTRICAL GAZA,2015,,,,,,,,,Arabic,Middle East,1.095,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,thu1,,,,DRAGNET GIRL,1933,,,,,,,,,Japanese,East Asia,1.823,,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
spring,2024,rs,thu2,,,,LUPE,1966,,,,,,,,,English,North America,0.6,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,thu2,,,,FLAMING CREATURES,1963,,,,,,,,,English,North America,2.557,,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
spring,2024,rs,fri,,,,STOP MAKING SENSE,1984,,,,,,,,,English,North America,11.341,,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
spring,2024,rs,sun1,,,,LOVERS ROCK,2020,,,,,,,,,English,Europe,0.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
spring,2024,rs,sun1,,,,GRENFELL,2018,,,,,,,,,English,Europe,1.348,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,sun2,,,,11X14,1977,,,,,,,,,English,North America,0.74,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
spring,2024,rs,mon,,,,ALMA'S RAINBOW,1994,,,,,,,,,English,North America,0.735,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
